I | 2016-10-13 18:26:11,177  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/files/ => com.twitter.server.handler.ResourceHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,178  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/registry.json => com.twitter.server.handler.RegistryHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,178  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/toggles => com.twitter.server.handler.ToggleHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,178  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/toggles/ => com.twitter.server.handler.ToggleHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,178  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /favicon.ico => com.twitter.server.handler.ResourceHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,178  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/histograms => com.twitter.server.handler.HistogramQueryHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,178  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/histograms.json => com.twitter.server.handler.HistogramQueryHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,225  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] http server started on port: 8080 ~ info(:128) 
I | 2016-10-13 18:26:11,226  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] Enabling health endpoint on port 9990 ~ info(:128) 
I | 2016-10-13 18:26:11,227  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] id.co.babe.entityextractor.server.ApiServerMain started. ~ info(:128) 
I | 2016-10-13 18:26:11,227  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] Startup complete, server ready. ~ info(:128) 
I | 2016-10-13 18:26:16,951 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [b0f576b3f5f2410a] SELECT x2.id, x2.title, x2.body FROM sasha_article x2 WHERE x2.id = ? LIMIT 1 ~ executeQuery(:71) 
I | 2016-10-13 18:26:17,074 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [b0f576b3f5f2410a] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?) ~ executeQuery(:71) 
I | 2016-10-13 18:26:17,076 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [b0f576b3f5f2410a] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?, ?) ~ executeQuery(:71) 
I | 2016-10-13 18:26:17,077 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [b0f576b3f5f2410a] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?, ?, ?) ~ executeQuery(:71) 
I | 2016-10-13 18:26:17,080 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [b0f576b3f5f2410a] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?) ~ executeQuery(:71) 
I | 2016-10-13 18:26:17,081 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [b0f576b3f5f2410a] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?, ?) ~ executeQuery(:71) 
I | 2016-10-13 18:26:17,082 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [b0f576b3f5f2410a] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?, ?, ?) ~ executeQuery(:71) 
I | 2016-10-13 18:26:17,083 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [b0f576b3f5f2410a] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?) ~ executeQuery(:71) 
